Model,Brand,OS_Version,Screen_Size_Inches,Battery_mAh,RAM_GB,Storage_GB,Rear_Camera_MP,Front_Camera_MP,Processor,Refresh_Rate_Hz,Connectivity,Face_Unlock,Fingerprint_Sensor,Dual_SIM,Warranty,Screen_Type,Charging_Port,Fast_Charging,Body_Material,Weight_g,Thickness_mm,Price_Category
SAM-589,Samsung,Android 12,5.16,3800,12,512,96,40,Exynos,144,4G,Yes,Yes,No,2 Years,LCD,Lightning,No,Plastic,147,8.8,Low
VIV-521,Vivo,Android 11,5.53,3400,12,32,48,40,Snapdragon,144,4G,No,No,Yes,1 Year,OLED,Lightning,No,Plastic,152,8.9,Medium
XIA-595,Xiaomi,Android 10,6.74,5200,8,64,24,10,MediaTek,120,4G,Yes,Yes,No,No Warranty,IPS,Type-C,Yes,Plastic,156,9.4,Medium
TEC-160,Tecno,iOS 14,5.73,3100,4,128,20,30,MediaTek,60,5G,Yes,No,Yes,1 Year,OLED,Lightning,Yes,Plastic,221,7.5,Low
APP-735,Apple,Android 12,5.22,3600,2,128,92,15,Snapdragon,60,4G,Yes,No,Yes,1 Year,AMOLED,Lightning,Yes,Plastic,187,9.3,Medium
HUA-993,Huawei,Android 10,5.56,5200,3,256,100,20,Exynos,90,4G,No,No,Yes,2 Years,AMOLED,Lightning,Yes,Glass,226,6.6,Very High
XIA-460,Xiaomi,Android 11,5.33,4500,2,512,72,25,Snapdragon,144,5G,Yes,No,Yes,1 Year,IPS,Lightning,Yes,Metal,167,7.4,Low
VIV-709,Vivo,Android 12,5.96,5700,3,128,48,10,MediaTek,120,5G,Yes,No,Yes,2 Years,IPS,Micro-USB,No,Plastic,218,8.5,Low
APP-107,Apple,iOS 14,6.57,4300,2,128,8,25,Kirin,144,5G,Yes,Yes,Yes,No Warranty,IPS,Lightning,No,Glass,223,8.5,Low
TEC-538,Tecno,iOS 15,6.62,4400,12,64,20,25,Apple Bionic,120,5G,Yes,Yes,Yes,2 Years,LCD,Lightning,No,Glass,160,8.5,Medium
SAM-511,Samsung,iOS 15,5.58,5700,3,32,92,15,Exynos,120,5G,Yes,No,No,1 Year,OLED,Lightning,No,Metal,177,7.2,Low
VIV-788,Vivo,Android 11,5.43,6000,3,512,36,30,Exynos,60,5G,Yes,No,Yes,No Warranty,OLED,Micro-USB,No,Metal,127,8.0,Very High
OPP-463,Oppo,Android 12,6.87,5400,4,256,8,20,Apple Bionic,90,4G,No,No,Yes,1 Year,IPS,Micro-USB,No,Metal,120,8.2,Low
OPP-562,Oppo,iOS 14,5.88,3500,8,512,64,35,Kirin,120,4G,Yes,No,Yes,1 Year,OLED,Type-C,Yes,Glass,169,8.4,Very High
XIA-739,Xiaomi,iOS 15,6.42,4700,2,64,104,25,Snapdragon,90,5G,No,Yes,No,No Warranty,AMOLED,Type-C,No,Metal,121,9.4,Low
APP-606,Apple,iOS 15,6.74,4600,6,512,88,15,MediaTek,60,4G,Yes,No,No,No Warranty,IPS,Lightning,No,Plastic,144,7.2,Very High
